"CustomerID","CustomerEmail","CustomerPassword","CustomerFirstName","CustomerLastName","CustomerCity","CustomerState","CustomerZip","CustomerEmailVerified","CustomerRegistrationDate","CustomerPhone","CustomerDOB","CustomerCountry","CustomerAddress","CustomerAddress2","CustomerCurrentPoints","CustomerIP"
"1","Ro.ROBI1417@live.com","x","Roy","Robinson","Miami","Florida","33176","0","2016-01-30T01:08:10","(734) 699-4233","1917-04-02","United States","Keefe","a","7396","209.103.217.62"
"2","Yasmin.TAYLOR4677@gmail.com","x","Yasmin","Taylor","San Francisco","California","94730","0","2016-08-24T12:03:37","(956) 820-9196","1933-06-29","United States","Root","a","542","97.106.213.229"
"3","Ryle.MAL5913@live.com","x","Rylee","Malone","Irvine","California","92678","0","2015-08-18T05:05:15","(956) 283-9390","1910-02-02","United States","Bishop Ford 111th St","a","644","173.18.145.176"
"4","Gianca.SKI1462@mail2web.com","x","Giancarlo","Skinner","Montpelier","Vermont","05615","1","2016-01-16T03:34:13","(832) 411-5934","1960-01-03","United States","Montana","a","4693","55.79.235.127"
"5","Gali.CAMERO7922@live.com","x","Galilea","Cameron","Evansville","Indiana","47727","0","2015-09-09T06:12:30","(646) 363-1267","1988-12-17","United States","Balmoral","a","2442","206.238.247.173"
"6","Va.VALENCIA2769@live.com","x","Van","Valencia","San Bernardino","California","92388","1","2015-09-12T07:57:40","(505) 811-6326","1912-11-22","United States","Wilson","a","9399","22.94.121.55"
"7","Lar.COMPTO2220@mail2web.com","x","Larissa","Compton","Henderson","Nevada","89013","0","2016-06-26T07:49:13","(970) 828-2606","1910-09-28","United States","Bishop Ford I57","a","3864","99.251.76.8"
"8","Kr.MANNIN2488@mail2web.com","x","Krish","Manning","Charleston","South Carolina","29405 ","0","2015-07-05T01:12:16","(440) 780-6335","1939-03-25","United States","Park","a","9692","217.71.96.152"
"9","Killian.GENT1171@mail2web.com","x","Killian","Gentry","Independence","Missouri","64077","0","2016-08-17T09:20:26","(704) 153-6563","1965-01-10","United States","Princeton","a","6130","108.99.62.184"
"10","Lande.DOMING8577@yahoo.com","x","Landen","Dominguez","Madison","Wisconsin","53988","0","2015-10-22T04:21:06","(858) 821-6242","1912-04-14","United States","State","a","977","206.131.202.205"
"11","Archer.GILLESPI3431@hushmail.com","x","Archer","Gillespie","Chicago","Illinois","60244","0","2016-01-16T12:05:35","(651) 286-3580","1959-03-27","United States","Beacon","a","3576","185.89.30.226"
"12","Pierc.SWANSON5757@mail2web.com","x","Pierce","Swanson","Montgomery","Alabama","36175 ","0","2016-02-14T07:03:16","(304) 526-4436","1909-11-08","United States","Waukesha","a","9697","65.88.13.220"
"13","Kenda.SAL7792@mail2web.com","x","Kendall","Salas","Paterson","New Jersey","07561","0","2015-07-02T09:37:07","(907) 686-2969","1949-10-31","United States","Arlington","a","1243","133.121.173.63"
"14","Ash.HUFF1602@hushmail.com","x","Ashlynn","Huff","Hialeah","Florida","33030","0","2015-06-28T08:00:14","(415) 230-8942","1968-08-23","United States","Sangamon","a","9886","61.54.12.151"
"15","Char.GL3918@yahoo.com","x","Charlie","Glenn","Tallahassee","Florida","32341","1","2015-02-03T06:01:01","(817) 109-0577","1950-10-06","United States","Eisenhower Morgan St","a","5244","16.95.207.99"
"16","Jayc.BERGE7485@live.com","x","Jaycob","Berger","Salt Lake City","Utah","84039","0","2016-02-22T12:02:31","(757) 373-5324","1912-10-18","United States","Benton","a","5012","155.83.218.127"
"17","Yami.PRAT3073@mail2web.com","x","Yamileth","Pratt","Dallas","Texas","75806","1","2016-09-17T08:33:41","(212) 366-3657","1994-05-11","United States","Loyola","a","6569","97.35.238.220"
"18","Phoe.SHEL5995@mail2web.com","x","Phoebe","Shelton","Oklahoma City","Oklahoma","73910","1","2015-12-15T11:29:07","(719) 779-8441","1944-04-20","United States","Miller","a","7042","120.121.184.7"
"19","Daphn.MERCA4843@live.com","x","Daphne","Mercado","Clarksville","Tennessee","37048","0","2016-05-05T04:48:54","(918) 815-0508","1999-11-18","United States","75th","a","1508","193.149.229.233"
"20","Lol.RA4867@live.com","x","Lola","Ray","Newark","New Jersey","07108","1","2016-01-20T08:51:34","(973) 703-6510","1973-12-22","United States","East River","a","7130","167.68.32.35"
"21","Ca.BA3026@live.com","x","Cale","Bass","Tampa","Florida","33799","1","2015-05-07T09:46:33","(305) 561-8141","1983-12-23","United States","Roscoe","a","4331","56.205.195.122"
"22","Kayli.WAR8842@yahoo.com","x","Kaylin","Warner","Syracuse","New York","13229","1","2016-03-21T11:43:26","(585) 813-0892","1988-06-02","United States","Aberdeen","a","4842","94.82.222.171"
"23","Mckin.ONE9778@hushmail.com","x","Mckinley","Oneil","Oakland","California","94846","0","2015-09-15T02:13:36","(828) 161-0475","1991-12-06","United States","Melrose","a","417","102.53.103.137"
"24","Bl.RO7179@hushmail.com","x","Blake","Roth","Fremont","California","94502","1","2015-08-10T05:10:38","(478) 822-4840","1947-02-09","United States","Music Court","a","5342","147.67.149.185"
"25","Ai.CHRIS9082@mail2web.com","x","Aiden","Christensen","Newark","New Jersey","07147","0","2015-03-26T02:23:27","(307) 943-9270","1916-11-05","United States","Dakin","a","471","62.194.210.49"
"26","Maken.HAM1067@hushmail.com","x","Makenna","Hampton","Seattle","Washington","98353","1","2016-01-06T03:51:06","(847) 900-9270","1920-09-09","United States","Linden","a","6442","12.202.112.92"
"27","Justi.COHE3399@hushmail.com","x","Justin","Cohen","Honolulu","Hawaii","96577","0","2016-08-12T02:36:41","(787) 687-0958","1980-04-08","United States","Pershing","a","9011","157.19.98.63"
"28","Chad.RUS8044@gmail.com","x","Chad","Russell","Fayetteville","North Carolina","72763","1","2015-09-17T06:10:54","(612) 167-1063","1962-09-01","United States","Grady","a","9937","176.0.154.93"
"29","Case.Rea3641@yahoo.com","x","Case","Read","Salt Lake City","Utah","84005","0","2015-02-21T11:43:45","(704) 705-9402","1918-12-09","United States","Kinzua","a","2783","112.95.66.158"
"30","Fio.PA1312@mail2web.com","x","Fiona","Payne","Montpelier","Vermont","05696","0","2015-06-25T08:19:13","(559) 758-3872","1957-04-23","United States","Sioux","a","4136","84.172.171.238"
"31","Lea.GRIFFI5610@hushmail.com","x","Leandro","Griffith","Des Moines","Iowa","50302","1","2016-04-06T01:24:50","(612) 458-7975","1918-04-17","United States","South Water Lower","a","7260","202.91.75.150"
"32","Arabel.DELGADO4698@hushmail.com","x","Arabella","Delgado","Seattle","Washington","98565","0","2015-08-23T11:15:25","(770) 597-0924","1924-06-30","United States","Sherwin","a","7005","88.146.140.191"
"33","Sim.EL4143@gmail.com","x","Simon","Ellis","Clarksville","Tennessee","37053","1","2016-04-14T04:46:16","(817) 727-9377","1985-12-31","United States","102nd","a","1905","115.58.240.71"
"34","Kourt.DOWN3120@gmail.com","x","Kourtney","Downs","St. Louis","Missouri","63648","0","2015-09-23T10:41:22","(810) 130-2009","1936-11-30","United States","Kennedy Milwaukee Av","a","1835","191.222.61.61"
"35","Frank.MC8384@gmail.com","x","Frank","Mckay","Boise City","Idaho","83360","1","2016-08-25T06:16:24","(423) 338-1637","1984-05-04","United States","Catherine","a","7348","72.85.228.39"
"36","Regi.GALL3709@hushmail.com","x","Reginald","Gallegos","Tampa","Florida","33971","0","2015-08-09T05:14:01","(971) 829-0980","1917-02-07","United States","72nd","a","9848","68.7.2.188"
"37","Kamre.HANC1895@gmail.com","x","Kamren","Hancock","Cincinnati","Ohio","45211","0","2015-08-08T06:51:59","(610) 898-7968","1922-03-21","United States","Mclean","a","152","120.78.21.240"
"38","Dap.BAR8205@mail2web.com","x","Daphne","Barron","Chattanooga","Tennessee","37201","1","2015-02-14T10:06:51","(305) 170-9336","1937-10-29","United States","Clarendon","a","6655","116.215.81.184"
"39","Journee.HARDING9324@mail2web.com","x","Journee","Harding","Sioux Falls","South Dakota","57020","0","2015-06-25T11:43:31","(603) 305-8834","1913-07-12","United States","129th","a","3317","36.235.142.16"
"40","Mariah.BOOKER6966@hushmail.com","x","Mariah","Booker","Albuquerque","New Mexico","87907","0","2016-03-06T05:04:20","(985) 673-9597","1930-04-02","United States","Financial","a","1985","222.186.127.230"
"41","Owen.HOLM4149@hushmail.com","x","Owen","Holmes","Fayetteville","North Carolina","72700","1","2016-06-16T06:50:28","(831) 243-4776","1920-08-10","United States","Cta Bus Turnaround","a","3208","42.10.39.247"
"42","Pho.ROBE9015@yahoo.com","x","Phoenix","Robertson","Cincinnati","Ohio","45234","0","2016-09-07T06:10:38","(684) 590-1071","1943-07-22","United States","Elmdale","a","4594","107.63.108.139"
"43","Angel.MO6921@hushmail.com","x","Angel","Moss","Lexington","Kentucky","405716","0","2015-05-15T10:26:20","(540) 798-6351","1983-10-10","United States","Clover","a","6050","176.172.132.202"
"44","Bryce.MCNEIL7443@yahoo.com","x","Bryce","Mcneil","Bakersfield","California","93189","0","2016-02-08T07:00:37","(630) 471-6471","1953-01-01","United States","Reta","a","6764","35.126.37.247"
"45","Made.BOOTH7953@yahoo.com","x","Madeleine","Booth","Columbus","Georgia","31925","0","2016-02-21T09:20:23","(917) 307-4954","1995-09-15","United States","Dan Ryan 95th St","a","9667","41.127.228.130"
"46","Raid.RICH9951@gmail.com","x","Raiden","Richard","Augusta","Georgia","30978","1","2015-06-26T08:38:08","(607) 733-1328","1996-02-08","United States","Frontier","a","5321","110.163.160.202"
"47","Lucia.CUMM3797@gmail.com","x","Lucian","Cummings","Los Angeles","California","90176","1","2016-03-23T05:48:46","(316) 886-3978","1921-01-29","United States","Birchwood","a","8622","179.216.100.105"
"48","Thadde.MURRA9638@gmail.com","x","Thaddeus","Murray","Naperville","Illinois","60462","0","2016-09-01T08:05:56","(763) 939-2600","1914-09-14","United States","27th","a","8569","182.14.85.170"
"49","Tam.HOLLOWA6233@gmail.com","x","Tamia","Holloway","Orlando","Florida","32861","1","2015-01-03T07:48:14","(414) 529-6486","1974-08-14","United States","Hamilton","a","3427","88.205.98.65"
"50","Jairo.CLI5062@mail2web.com","x","Jairo","Cline","Gilbert","Arizona","85269","1","2016-08-27T10:19:08","(351) 650-5517","1928-07-05","United States","Elias","a","1064","119.85.245.27"
"51","Annika.PARS6619@live.com","x","Annika","Parsons","Lubbock","Texas","79889","0","2016-06-18T11:43:37","(406) 797-7839","1924-02-01","United States","Edgewater","a","6986","135.103.62.179"
"52","Kimberly.VE2968@gmail.com","x","Kimberly","Vega","Minneapolis","Minnesota","55467","1","2016-01-20T02:21:19","(681) 452-7724","1991-03-13","United States","Riverside","a","639","89.48.117.95"
"53","Paxt.PETE4916@gmail.com","x","Paxton","Peterson","Henderson","Nevada","89060","1","2016-08-10T09:09:33","(231) 565-3457","1937-03-28","United States","Dan Ryan Wentworth Av","a","3931","153.240.212.120"
"54","Ignaci.HENDRI4265@live.com","x","Ignacio","Hendricks","Philadelphia","Pennsylvania","19025","1","2016-01-22T01:56:43","(202) 758-9603","1917-04-13","United States","Dan Ryan 71st St","a","4596","11.129.98.226"
"55","Issa.PRI9790@gmail.com","x","Issac","Prince","Overland Park","Kansas","66288","1","2015-03-13T10:37:03","(651) 893-8327","1998-02-20","United States","Dakin","a","1022","211.159.150.82"
"56","Tuc.CRAWFO3951@hushmail.com","x","Tucker","Crawford","Clarksville","Tennessee","37072","1","2015-07-24T06:40:25","(740) 744-4283","1977-08-15","United States","Keystone","a","4477","90.119.32.55"
"57","Memphis.CRO2658@yahoo.com","x","Memphis","Cross","Milwaukee","Wisconsin","53070","0","2016-08-06T08:50:59","(407) 585-9083","1901-02-04","United States","Dan Ryan 18th St","a","9267","119.33.183.113"
"58","Brons.CARROLL4128@gmail.com","x","Bronson","Carroll","Peoria","Arizona","85392","1","2015-11-24T08:06:43","(779) 722-6038","1946-04-10","United States","Torrence","a","1327","18.122.3.53"
"59","Na.MEYER6002@gmail.com","x","Naomi","Meyer","New Haven","Connecticut","06587","0","2016-04-08T10:19:47","(979) 318-0767","1942-09-18","United States","Vine","a","935","73.179.107.233"
"60","Brode.RICHMON3664@live.com","x","Broderick","Richmond","Newark","New Jersey","07161","0","2016-06-19T03:50:31","(215) 254-6258","1988-11-14","United States","Jarvis","a","5868","170.56.22.21"
"61","Spen.SILV8916@mail2web.com","x","Spencer","Silva","Salt Lake City","Utah","84096","0","2015-06-11T05:22:17","(763) 317-2019","1924-11-03","United States","77th","a","7114","128.61.45.133"
"62","Tyson.VELE7904@hushmail.com","x","Tyson","Velez","Syracuse","New York","13298","0","2015-01-01T12:29:42","(740) 840-2980","1904-03-31","United States","Southspine","a","493","15.160.65.145"
"63","Kaitly.HERMA2280@hushmail.com","x","Kaitlyn","Herman","Chandler","Arizona","85222","1","2016-04-09T12:25:15","(307) 148-6220","1972-12-09","United States","Quincy","a","3998","114.224.89.183"
"64","Raf.EDWA6592@yahoo.com","x","Rafael","Edwards","Stamford","Connecticut","06958","0","2015-05-03T08:27:41","(757) 403-6174","1989-07-15","United States","Neola","a","2497","162.53.178.246"
"65","Theodor.DAVID9395@yahoo.com","x","Theodore","David","Long Beach","California","90778 ","1","2015-07-10T09:36:14","(573) 223-6948","1937-03-22","United States","Foster","a","8540","185.99.78.113"
"66","Nola.MADD6207@gmail.com","x","Nola","Madden","Gilbert","Arizona","85276","1","2015-04-12T08:44:10","(530) 374-6437","1970-09-02","United States","Fern","a","455","144.53.64.127"
"67","Car.WHITF5337@live.com","x","Carley","Whitfield","St. Paul","Minnesota","55083","1","2016-04-03T11:56:41","(619) 856-6142","1933-04-08","United States","Eisenhower Canal St","a","6660","181.210.171.40"
"68","Princ.ROBERTSON2548@hushmail.com","x","Princeton","Robertson","Honolulu","Hawaii","96848","1","2015-03-16T03:01:54","(906) 685-1630","1942-10-07","United States","Ferdinand","a","8169","140.104.127.147"
