"CustomerID","CustomerEmail","CustomerPassword","CustomerFirstName","CustomerLastName","CustomerCity","CustomerState","CustomerZip","CustomerEmailVerified","CustomerRegistrationDate","CustomerPhone","CustomerDOB","CustomerCountry","CustomerAddress","CustomerAddress2","CustomerCurrentPoints","CustomerIP","Latitude","Longitude"
"1","Ror.RODRI5871@gmail.com","x","Rory","Rodriquez","Gainesville","Florida","32618","1","2015-03-13T04:11:30","(979) 549-6605","1914-04-22","United States","Noble","a","2353","31.252.38.123","29.75","-82.46"
"2","Gideo.MERR8401@yahoo.com","x","Gideon","Merritt","Fayetteville","North Carolina","72704","1","2015-04-05T03:01:00","(740) 211-1938","1994-12-10","United States","Van Vlissingen","a","1969","73.15.43.68","35.1","-78.82"
"3","Eman.MOO2745@live.com","x","Emanuel","Mooney","Cary","North Carolina","27510","1","2016-04-25T01:57:24","(605) 121-5429","1961-05-23","United States","Fry","a","2247","8.164.41.179","35.82","-78.66"
"4","Elian.DOY3641@yahoo.com","x","Elian","Doyle","Gainesville","Florida","32650","1","2016-02-03T03:13:20","(331) 392-4492","1931-03-10","United States","Rutherford","a","4864","119.179.145.148","29.75","-82.48"
"5","Kaden.WEL9211@hushmail.com","x","Kaden","Welch","Baton Rouge","Louisiana","70680","1","2015-12-09T09:08:08","(661) 171-3091","1903-10-29","United States","Prairie","a","3232","193.149.196.62","30.41","-91.16"
"6","Kinsl.CLEM2305@live.com","x","Kinsley","Clements","Fort Lauderdale","Florida","33808","0","2015-06-10T09:17:05","(929) 902-2436","1962-03-04","United States","Haines","a","6406","115.148.94.125","26.28","-80.23"
"7","Juliett.MUL1249@gmail.com","x","Juliette","Mullins","Indianapolis","Indiana","46866","0","2016-07-04T10:52:38","(856) 249-5259","1986-12-09","United States","Nashotah","a","4663","33.167.170.15","39.83","-86.21"
"8","Serg.MAT5794@yahoo.com","x","Sergio","Mathis","Murfreesboro","Tennessee","37177","0","2016-08-18T11:13:02","(941) 320-1691","1963-06-23","United States","Davlin","a","8104","9.21.9.144","35.8","-86.39"
"9","Sa.ROWL1776@live.com","x","Saul","Rowland","Columbia","South Carolina","29061","0","2016-08-21T01:52:41","(215) 473-3337","1962-12-07","United States","Elbridge","a","1504","143.140.122.24","34","-81.06"
"10","Aiden.HAYES7224@live.com","x","Aiden","Hayes","Kent","Washington","98072","1","2015-09-01T11:12:45","(770) 798-9434","1913-03-13","United States","Talcott","a","5696","221.208.28.204","47.34","-122.35"
