"OrderID","OrderCustomerID","OrderAmount","OrderShipName","OrderShipAddress","OrderShipAddress2","OrderCity","OrderState","OrderZip","OrderCountry","OrderPhone","Order","OrderShipping","OrderTax","OrderEmail","OrderDate","OrderShipped","OrderTrackingNumber"
"1","266","4807","Cullen Nguyen","a","a","Shreveport","Louisiana","71115","United States","(716) 603-4449","0","0","0","Culle.NGUYEN9400@hushmail.com","1922-06-02T12:28:35","0","07bc6daa-9626-4022-977b-e41bb4aae906"
"2","955","1879","Serenity Castaneda","a","a","Los Angeles","California","90014","United States","(405) 569-8279","0","0","0","Sereni.CASTANED2096@hushmail.com","1960-05-18T07:14:43","1","e9315c6d-9ca9-4ba4-b20e-358a77f0426d"
"3","741","8163","Arjun Cooke","a","a","Charleston","South Carolina","29400 ","United States","(703) 522-6541","0","0","0","Arju.CO5331@gmail.com","1996-08-14T11:05:33","0","8441b248-e707-412f-8903-2e767cd611de"
"4","986","4351","Rachael Terry","a","a","Tampa","Florida","33670","United States","(218) 487-8126","0","0","0","Rachae.TER8539@yahoo.com","2008-12-24T09:33:33","1","c11f0f83-d817-4324-bdd9-41297e2eb54f"
"5","783","535","Sierra Fisher","a","a","New Orleans","Louisiana","70696","United States","(814) 622-3991","0","0","0","Sie.FISHER7792@mail2web.com","1980-08-20T09:00:43","0","d278209c-1a03-42ed-97d9-8658715a02e8"
"6","225","3575","Charley Winters","a","a","Norman","Oklahoma","73015","United States","(832) 218-6439","0","0","0","Charle.WINT3249@mail2web.com","1936-07-18T10:17:10","1","10731cf5-d96a-47aa-ba9b-0eade5b86cd8"
"7","126","1508","Teagan Carr","a","a","Pittsburgh","Pennsylvania","15624","United States","(510) 945-0820","0","0","0","Teagan.CARR7313@gmail.com","1921-09-11T02:12:59","0","c13738f9-dc3f-4d2c-8c52-840c19007dd4"
"8","660","847","Taryn Pittman","a","a","Springfield","Missouri","65748","United States","(774) 677-5326","0","0","0","Tar.PITTM2163@mail2web.com","1908-02-16T03:42:04","0","13908db3-016d-4e3c-a37f-65d51e874e51"
"9","921","178","Kaylyn Velez","a","a","Montpelier","Vermont","05605","United States","(206) 267-1758","0","0","0","Kaylyn.VELEZ1847@hushmail.com","2003-07-24T02:22:33","0","a766dc9c-9435-476d-995f-fe8f0949b4e9"
"10","724","2206","Nixon Boyer","a","a","Ann Arbor","Michigan","48191","United States","(603) 692-6132","0","0","0","Nix.BOYER2234@live.com","1919-07-10T09:22:25","1","688c0391-428e-4af0-a058-4eb6f4642fc6"
"11","670","556","Kenny Vargas","a","a","Overland Park","Kansas","66232","United States","(386) 224-2037","0","0","0","Ke.VARGA7103@gmail.com","1929-04-03T04:03:33","1","cdc6b7c1-18b5-43fe-bb5f-d484b4b3a141"
"12","107","8154","Rylie Mcintosh","a","a","Norman","Oklahoma","73088","United States","(386) 698-5811","0","0","0","Ry.MCINT6957@live.com","1988-01-07T01:26:02","1","f7d4a6e6-d6b4-4eda-9263-d02d4ba36934"
"13","784","8268","Hope Foley","a","a","Lincoln","Nebraska","68395 ","United States","(910) 564-3323","0","0","0","Ho.FOL6685@live.com","1992-11-16T12:42:08","0","d012c445-05b9-4500-837a-e1689c575221"
"14","621","766","Bethany Camacho","a","a","Spokane","Washington","99247","United States","(202) 925-9343","0","0","0","Betha.CAMA2364@live.com","1915-12-30T03:20:08","0","06c1f43b-a257-474e-b2b6-55a659ad3e79"
"15","798","4141","Colten Fisher","a","a","Knoxville","Tennessee","37149","United States","(301) 921-9700","0","0","0","Colte.FISHER6454@live.com","1935-10-22T05:15:34","1","7d9a4aa3-63e8-4bc7-98ee-d0e926f30c56"
"16","346","4541","Ean Sweeney","a","a","Phoenix","Arizona","85841","United States","(858) 749-7266","0","0","0","E.SWEEN9538@live.com","1991-08-11T05:16:26","0","2be542f9-01c8-4604-a35a-7aa4ea87f102"
"17","649","8595","Tara Ayala","a","a","Newark","New Jersey","07184","United States","(515) 826-4256","0","0","0","Ta.AYAL4638@gmail.com","1914-07-12T11:00:18","1","37bfda62-9c0e-48c8-93f3-0157eeeb3999"
"18","126","9635","Nolan Spence","a","a","Chula Vista","California","91956","United States","(404) 154-6881","0","0","0","No.SPE8130@mail2web.com","1966-04-10T03:43:55","0","1394ceea-845b-427c-9166-6131859e5049"
